id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
9550;0;Adventure|Drama|Action|Romance;tt0385004;zh;十面埋伏;In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.;1.570989;Beijing New Picture Film Co. Ltd.;China;19/05/2004;92863945;119;普通话;Released;;House of Flying Daggers;7.1;408;1;2;1
9551;6907750;Animation|Comedy;tt0433985;de;Dieter - Der Film;Dieters grandma knew it from the start. This guy will be special one. She should be right. Even as a child Dieter shows an enormous power when it is necessary to enforce his will. He quickly learn that you can not only impress the girls, but also make a lot of money as a musician. He understands that the success is mainly a question of the postage costs and a healthy liver. That you may not always tell the truth, but you should always have something lying on the high edge.;0.046272;RTL Television;Germany;04/03/2006;0;85;Deutsch;Released;;Dieter - The Movie;3.0;6;1;1;1
9552;8000000;Drama|Horror|Thriller;tt0070047;en;The Exorcist;12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.;4.49997;Warner Bros.;United States of America;26/12/1973;441306145;122;Deutsch;Released;Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist.;The Exorcist;7.4;1826;2;1;6
9553;0;Documentary;tt1229790;de;Lenin kam nur bis Lüdenscheid - Meine kleine deutsche Revolution;;0.000582;Florianfilm;Germany;11/02/2008;0;88;Deutsch;Released;;Lenin kam nur bis Lüdenscheid - Meine kleine deutsche Revolution;0.0;0;1;1;1
9554;0;Drama;tt0064553;ru;Король Лир;King Lear, old and tired, divides his kingdom among his daughters, giving great importance to their protestations of love for him. When Cordelia, youngest and most honest, refuses to idly flatter the old man in return for favor, he banishes her and turns for support to his remaining daughters. But Goneril and Regan have no love for him and instead plot to take all his power from him. In a parallel, Lear's loyal courtier Gloucester favors his illegitimate son Edmund after being told lies about his faithful son Edgar. Madness and tragedy befall both ill-starred fathers.;0.09323;Lenfilm;Russia;09/12/1970;0;139;Pусский;Released;;King Lear;8.0;2;1;1;1
9555;0;Adventure|Drama|Action|History;tt0252444;en;Rabbit-Proof Fence;In 1931, three aboriginal girls escape after being plucked from their homes to be trained as domestic staff and set off on a trek across the Outback.;0.656915;Showtime Australia;Australia;04/02/2002;0;94;English;Released;Follow Your Heart, Follow The Fence;Rabbit-Proof Fence;6.9;78;4;1;1
9556;16000000;Action|Science Fiction|Crime;tt0099365;en;Darkman;Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.;1.269105;Universal Pictures;United States of America;24/08/1990;48878502;96;English;Released;They destroyed everything he had, everything he was. Now, crime has a new enemy and justice has a new face.;Darkman;6.2;282;2;1;1
9557;20000000;Comedy;tt0285462;en;Boat Trip;"Two straight men mistakenly end up on a ""gays only"" cruise.";2.579313;Motion Picture Corporation of America;Germany;01/10/2002;8586376;94;English;Released;... once you're on, you'll want to get off...;Boat Trip;4.6;130;2;2;3
9558;1000000;Thriller|Crime;tt0099939;en;King of New York;A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.;2.006145;The Rank Organisation;Italy;18/07/1990;2554476;103;English;Released;Not everyone who runs a city is elected.;King of New York;6.5;124;4;3;2
9559;30000000;Crime|Drama|Thriller;tt0107808;en;A Perfect World;A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.;1.775211;Malpaso Productions;United States of America;24/11/1993;135130999;138;English;Released;;A Perfect World;7.2;332;2;1;1
9560;20000000;Drama|Romance;tt0114887;en;A Walk in the Clouds;World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.;0.751009;Twentieth Century Fox Film Corporation;United States of America;11/08/1995;50012507;103;English;Released;A man in search. A woman in need. A story of fate.;A Walk in the Clouds;6.4;150;2;1;1
